# Metropolitan Emergency Road Network — 100 Connected Arterial Routes
# Format: from,to,weight,bidirectional
from,to,weight,bidirectional
Hospital_General,Civic_Center,2.1,1
Hospital_General,Highway_Junction_101,3.4,1
Hospital_General,Ambulance_Depot_North,1.5,1
Hospital_General,Downtown_Core,2.8,1
Trauma_Center_East,Highway_Junction_202,2.0,1
Trauma_Center_East,Fire_Station_3_East,1.8,1
Trauma_Center_East,Police_Precinct_East,2.5,1
Trauma_Center_East,Harbor_Tunnel_East,3.2,1
St_Jude_Childrens,University_Campus,1.9,1
St_Jude_Childrens,Financial_District,2.7,1
St_Jude_Childrens,Hospital_General,3.5,1
Mercy_Hospital_West,Fire_Station_5_West,1.6,1
Mercy_Hospital_West,Highway_Junction_404,2.9,1
Mercy_Hospital_West,River_Crossing_West,3.1,1
Mercy_Hospital_West,Residential_Heights,2.4,1
Veteran_Hospital_South,Suspension_Bridge_South,2.3,1
Veteran_Hospital_South,Highway_Junction_303,2.8,1
Veteran_Hospital_South,Police_Precinct_South,1.9,1
Veteran_Hospital_South,Fire_Station_4_South,2.2,1
Fire_Station_1_HQ,Civic_Center,1.2,1
Fire_Station_1_HQ,Downtown_Core,1.8,1
Fire_Station_1_HQ,Financial_District,2.0,1
Fire_Station_2_North,Highway_Junction_101,2.1,1
Fire_Station_2_North,Ambulance_Depot_North,1.4,1
Fire_Station_2_North,Metro_Bridge_North,2.6,1
Fire_Station_3_East,Harbor_Tunnel_East,2.3,1
Fire_Station_3_East,Tech_Park,2.5,1
Fire_Station_3_East,Industrial_Zone_A,3.0,1
Fire_Station_4_South,Suspension_Bridge_South,2.0,1
Fire_Station_4_South,Ambulance_Depot_South,1.7,1
Fire_Station_4_South,Maritime_Port,3.4,1
Fire_Station_5_West,River_Crossing_West,2.1,1
Fire_Station_5_West,Industrial_Zone_B,2.8,1
Fire_Station_5_West,Suburb_Oaks,3.2,1
Fire_Station_6_Airport,International_Airport,1.0,1
Fire_Station_6_Airport,Highway_Junction_202,3.8,1
Fire_Station_6_Airport,Emergency_Flight_Helipad,1.5,1
Fire_Station_7_Harbor,Maritime_Port,1.1,1
Fire_Station_7_Harbor,Harbor_Tunnel_East,2.9,1
Fire_Station_7_Harbor,Industrial_Zone_A,2.4,1
Police_Central_HQ,Downtown_Core,1.3,1
Police_Central_HQ,Civic_Center,1.0,1
Police_Central_HQ,Financial_District,1.7,1
Police_Precinct_North,Highway_Junction_101,1.9,1
Police_Precinct_North,Metro_Bridge_North,2.2,1
Police_Precinct_North,Residential_Heights,2.6,1
Police_Precinct_South,Highway_Junction_303,2.1,1
Police_Precinct_South,Suspension_Bridge_South,2.4,1
Police_Precinct_South,Riverside_Marina,2.8,1
Police_Precinct_East,Highway_Junction_202,1.8,1
Police_Precinct_East,Tech_Park,2.2,1
Police_Precinct_East,Harbor_Tunnel_East,2.7,1
Police_Precinct_West,Highway_Junction_404,2.0,1
Police_Precinct_West,River_Crossing_West,2.5,1
Police_Precinct_West,Suburb_Oaks,2.9,1
Ambulance_Depot_North,Metro_Bridge_North,2.0,1
Ambulance_Depot_North,Highway_Junction_101,1.8,1
Ambulance_Depot_South,Suspension_Bridge_South,2.2,1
Ambulance_Depot_South,Highway_Junction_303,1.9,1
Emergency_Flight_Helipad,Trauma_Center_East,2.4,1
Emergency_Flight_Helipad,Hospital_General,3.0,1
Emergency_Flight_Helipad,International_Airport,2.1,1
Highway_Junction_101,Highway_Junction_202,4.5,1
Highway_Junction_202,Highway_Junction_303,5.0,1
Highway_Junction_303,Highway_Junction_404,4.8,1
Highway_Junction_404,Highway_Junction_101,5.2,1
Highway_Junction_101,Metro_Bridge_North,2.3,1
Highway_Junction_202,Harbor_Tunnel_East,2.7,1
Highway_Junction_303,Suspension_Bridge_South,2.5,1
Highway_Junction_404,River_Crossing_West,2.6,1
Downtown_Core,Financial_District,1.1,1
Downtown_Core,Grand_Central_Station,1.6,1
Downtown_Core,University_Campus,2.3,1
Financial_District,Civic_Center,1.4,1
Financial_District,Grand_Central_Station,1.5,1
Civic_Center,Grand_Central_Station,1.7,1
Civic_Center,University_Campus,2.0,1
University_Campus,Residential_Heights,2.5,1
University_Campus,Tech_Park,3.2,1
Grand_Central_Station,Metro_Bridge_North,3.0,1
Grand_Central_Station,Suspension_Bridge_South,3.3,1
Tech_Park,International_Airport,3.5,1
Tech_Park,Industrial_Zone_A,2.8,1
International_Airport,Industrial_Zone_A,4.0,1
International_Airport,Highway_Junction_202,3.2,1
Maritime_Port,Harbor_Tunnel_East,2.5,1
Maritime_Port,Industrial_Zone_A,2.1,1
Maritime_Port,Riverside_Marina,3.6,1
Industrial_Zone_A,Industrial_Zone_B,3.9,1
Industrial_Zone_B,River_Crossing_West,2.7,1
Industrial_Zone_B,Suburb_Oaks,3.4,1
Residential_Heights,Metro_Bridge_North,2.8,1
Residential_Heights,Suburb_Oaks,3.7,1
Suburb_Oaks,River_Crossing_West,2.6,1
Suburb_Oaks,Riverside_Marina,4.1,1
Riverside_Marina,Suspension_Bridge_South,3.0,1
Riverside_Marina,Highway_Junction_303,3.3,1
Metro_Bridge_North,Incident_Highrise_Fire,1.8,1
Financial_District,Incident_Highrise_Fire,1.5,1
Highway_Junction_202,Incident_Multi_Vehicle_Crash,1.2,1
Trauma_Center_East,Incident_Multi_Vehicle_Crash,2.1,1
Industrial_Zone_A,Incident_Hazmat_Zone,1.4,1
Fire_Station_7_Harbor,Incident_Hazmat_Zone,1.9,1
